text,label,source_type,language
"wishlist: power bank, smartwatch, auriculars bluetooth",tecnologia,wishlist_items,ca
"wishlist: carregador wireless, auriculars bluetooth, ratoli ergonomic",tecnologia,wishlist_items,ca
busca millorar el seu espai de joc amb accessoris gaming,gaming,phrase,ca
"wishlist: auriculars gaming, llum rgb, targeta regal videojocs",gaming,wishlist_items,ca
cafe,cuina,tag,ca
activitats,experiencies,tag,ca
"interessos: gimnas, fitness. wishlist: estoreta de ioga, ampolla esportiva. sol utilitzar material esportiu i roba tecnica",esport,mixed,ca
"li poden encaixar activitats, tallers o entrades per esdeveniments",experiencies,phrase,ca
"interessos: pastisseria, cocina. wishlist: motlles de rebosteria, llibre de receptes. gaudeix amb la pastisseria i els estris de cuina",cuina,mixed,ca
"interessos: joieria, bosses. wishlist: bossa, dessuadora. li agrada la moda i cuidar el seu estil personal",moda,mixed,ca
"interessos: electronica, smartphone. wishlist: carregador wireless, teclat mecanic. sol demanar productes relacionats amb tecnologia i electrònica",tecnologia,mixed,ca
restaurants,experiencies,tag,ca
"interessos: biblioteca, fantasia. wishlist: quadern de lectura, novel·la de fantasia. gaudeix amb llibres, manga i histories il·lustrades",llibres,mixed,ca
"wishlist: samarreta, bufanda, motxilla urbana",moda,wishlist_items,ca
senderisme,outdoor,tag,ca
moda,moda,tag,ca
pot valorar accessoris personals o complements de qualitat,moda,phrase,ca
"interessos: smartwatch, programacio, tecnologia",tecnologia,tags_group,ca
"interessos: cocina, barbacoa. wishlist: tassa termica, ganivet de cuina. li agrada cuinar i provar receptes noves",cuina,mixed,ca
"interessos: manga, lectura. wishlist: ebook reader, manga. sol afegir llibres i comics a les seves llistes",llibres,mixed,ca
"wishlist: vinilo, altavoz portatil, entradas concierto",musica,spanish_support,es
"tags: xbox, gaming, jocs",gaming,tags_group,ca
li agraden les excursions i les activitats a la natura,outdoor,phrase,ca
"interessos: estil, joieria. wishlist: necesser, ulleres de sol. te interes en peces practiques i boniques per vestir",moda,mixed,ca
"interessos: natura, senderisme. wishlist: frontal led, bastons de trekking. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor,mixed,ca
"tags: roba, outfits, bosses",moda,tags_group,ca
"preferencies: natacio, running, ciclisme",esport,tags_group,ca
"libros, lectura, novelas",llibres,spanish_support,es
"interessos: benestar, mindfulness, meditacio",benestar,tags_group,ca
"li agrada: entrades, restaurants, escapades",experiencies,tags_group,ca
"wishlist: impermeable, mapa de rutes, tenda de campanya",outdoor,wishlist_items,ca
gaudeix amb la pastisseria i els estris de cuina,cuina,phrase,ca
"wishlist: cadira gaming, suport per comandaments, figura decorativa gaming",gaming,wishlist_items,ca
gaudeix amb festivals i activitats musicals,musica,phrase,ca
"preferencies: ciclisme, esports, fitness",esport,tags_group,ca
accessoris tecnologics,tecnologia,tag,ca
"interessos: senderisme, camping. wishlist: navalla multiusos, termo. li poden agradar regals relacionats amb trekking i aventura",outdoor,mixed,ca
"interessos: meditacio, spa. wishlist: manta suau, set skincare. te interes en benestar, descans i moments tranquils",benestar,mixed,ca
nintendo,gaming,tag,ca
"wishlist: mapa de rutes, tenda de campanya, termo",outdoor,wishlist_items,ca
"interessos: instruments, audio. wishlist: suport per auriculars, auriculars. li agrada escoltar musica i anar a concerts",musica,mixed,ca
"wishlist: vela aromatica, difusor, mascarilla dormir",benestar,spanish_support,es
"interessos: excursions, muntanya. wishlist: frontal led, tenda de campanya. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor,mixed,ca
"interessos: oci, experiencies, aventura",experiencies,tags_group,ca
relax,benestar,tag,ca
"wishlist: sessio spa, entrada teatre, activitat aventura",experiencies,wishlist_items,ca
"interessos: ciencia ficcio, fantasia. wishlist: manga, ebook reader. sol afegir llibres i comics a les seves llistes",llibres,mixed,ca
"preferencies: autocura, mindfulness, relax",benestar,tags_group,ca
"interessos: xbox, streaming. wishlist: suport per comandaments, auriculars gaming. passa temps jugant amb consola i ordinador",gaming,mixed,ca
"interessos: ordinadors, smartwatch. wishlist: smartwatch, hub usb-c. sol demanar productes relacionats amb tecnologia i electrònica",tecnologia,mixed,ca
"interessos: cafe, te. wishlist: llibre de receptes, cafetera. gaudeix amb la pastisseria i els estris de cuina",cuina,mixed,ca
"interessos: setup gaming, nintendo, xbox",gaming,tags_group,ca
le gustan los auriculares bluetooth y los accesorios para ordenador,tecnologia,spanish_support,es
